date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:25	118/118	---M-Z	200	added ('OK')	text/plain	date:Mon,%2016%20Jul%202018%2001:37:37%20GMT	https://oaksterdamuniversity.com/robots.txt		(from )
08:39:27	127836/127836	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2001:37:37%20GMT	https://oaksterdamuniversity.com/anniversary/	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/anniversary/index.html	(from )
08:39:29	1978/1978	---M-Z	200	added ('OK')	text/css	etag:%227ba-54f6ea1321086-gzip%22	https://oaksterdamuniversity.com/wp-content/plugins/dp-portfolio-posts-pro-1//css/style.css?ver=1.0.0	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/plugins/dp-portfolio-posts-pro-1/css/style8a54.css	(from https://oaksterdamuniversity.com/anniversary/)
08:39:29	116077/116077	---M-Z	200	added ('OK')	text/css	etag:%221c56d-54f6f45eb201a-gzip%22	https://oaksterdamuniversity.com/wp-content/plugins/monarch/css/style.css?ver=1.3.4	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/plugins/monarch/css/stylec412.css	(from https://oaksterdamuniversity.com/anniversary/)
08:39:30	3423/3423	---M-Z	200	added ('OK')	text/css	etag:%22d5f-55bfdaaba60a3-gzip%22	https://oaksterdamuniversity.com/wp-content/plugins/popup-maker/assets/css/site.min.css?ver=1.6.6	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/plugins/popup-maker/assets/css/site.min7514.css	(from https://oaksterdamuniversity.com/anniversary/)
08:39:30	13689/13689	---M-Z	200	added ('OK')	text/css	etag:%223579-54fa7fbf6a76c-gzip%22	https://oaksterdamuniversity.com/wp-content/plugins/simple-download-monitor/css/sdm_wp_styles.css?ver=4.9.7	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/plugins/simple-download-monitor/css/sdm_wp_styles37cb.css	(from https://oaksterdamuniversity.com/anniversary/)
08:39:30	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css?ver=4.9.7	C:/My%20Web%20Sites/10%20nam%20ra%20truong/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min37cb.css	(from https://oaksterdamuniversity.com/anniversary/)
08:39:31	464395/464395	---M-Z	200	added ('OK')	text/css	etag:%227160b-56e27c1716c6f-gzip%22	https://oaksterdamuniversity.com/wp-content/themes/Divi/style.css?ver=4.9.7	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/themes/Divi/style37cb.css	(from https://oaksterdamuniversity.com/anniversary/)
08:39:31	1733/1733	---M-Z	200	added ('OK')	text/css	etag:%226c5-54f6eadb0c085-gzip%22	https://oaksterdamuniversity.com/wp-content/themes/Divi-Child/vender/jPopup/css/jPopup.css?ver=4.9.7	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/themes/Divi-Child/vender/jPopup/css/jPopup37cb.css	(from https://oaksterdamuniversity.com/anniversary/)
08:39:31	110/110	---M-Z	200	added ('OK')	text/css	etag:%226e-54f6eacdb6635-gzip%22	https://oaksterdamuniversity.com/wp-content/themes/Divi-Child/course/css/style.css?ver=4.9.7	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/themes/Divi-Child/course/css/style37cb.css	(from https://oaksterdamuniversity.com/anniversary/)
